2021-08-16 11:03:49.094575 -0.08 -0.08 0.12 0.20 0.13 0.11 -0.23 -0.60 -0.14 -0.27 -0.35  0.03 -0.18
2021-08-16 12:19:02.510889 -0.17 -0.09 0.06 0.52 0.02 0.06 -0.12 -0.30 -0.01 -0.30 -0.47 -0.01 -0.39
2021-08-16 12:46:22.279021 -0.16 -0.09 0.04 0.46 0.02 0.21 -0.02 -0.25  0.01 -0.45 -0.31  0.32 -0.49
2021-08-16 12:59:02.781470 -0.12 -0.15 -0.01 0.21 0.01 0.21 -0.02 -0.33 -0.07 -0.34 -0.3 0.3 -0.56
2021-08-16 13:05:28.176306 -0.31 -0.14 0.04 0.29 -0.02 0.19 -0.02 -0.41 -0.14 -0.28 -0.36 0.3 -0.56
2021-08-16 13:17:58.667086 -0.13 -0.08 0.04 0.02 -0.01 0.17 -0.02 -0.43 -0.09 -0.29 -0.35 -0.2 -0.6
2021-08-16 13:33:18.286442 -0.25 -0.11 0.07 0.06 -0.03 0.17 -0.02 -0.4 -0.18 -0.31 -0.32 0.01 -0.61
2021-08-16 13:44:39.269326 -0.18 -0.1 0.09 0.37 -0.04 0.17 -0.02 -0.35 -0.22 -0.37 -0.33 0.06 -0.62
2021-08-16 13:50:21.493251 -0.08 -0.1 0.1 0.4 -0.04 0.16 -0.02 -0.32 -0.19 -0.4 -0.3 0.11 -0.63
2021-08-16 13:59:25.800529 -0.27 -0.08 0.06 0.36 -0.03 0.14 -0.02 -0.33 -0.2 -0.24 -0.28 0.03 -0.64
2021-08-16 14:14:46.812399 -0.15 -0.05 0.07 0.17 -0.04 0.14 -0.02 -0.37 -0.19 -0.42 -0.23 0.05 -0.66
2021-08-16 14:30:07.676060 -0.14 -0.06 0.01 0.07 -0.06 0.18 -0.06 -0.39 -0.22 -0.3 -0.28 -0.01 -0.65
2021-08-16 14:40:45.011836 -0.1 -0.08 0.02 0.12 -0.07 0.19 -0.09 -0.37 -0.22 -0.37 -0.32 0.01 -0.64
2021-08-16 15:20:08.232175 -0.21 0.02 -0.06 0.4 -0.1 0.28 -0.08 -0.23 -0.2 -0.32 -0.2 0.09 -0.65
2021-08-16 15:35:29.765942 -0.25 0.04 -0.05 0.0 -0.12 0.3 -0.1 -0.24 -0.26 -0.32 -0.25 0.12 -0.64
2021-08-16 15:50:51.236856 -0.18 0.04 -0.04 0.21 -0.12 0.31 -0.1 -0.12 -0.15 -0.28 -0.2 0.12 -0.61
2021-08-16 16:06:12.780417 -0.15 0.04 0.01 0.07 -0.16 0.26 -0.11 -0.09 -0.14 -0.3 -0.17 0.03 -0.6
2021-08-16 16:21:35.501006 -0.18 0.05 -0.04 -0.1 -0.16 0.21 -0.11 -0.2 -0.24 -0.3 -0.16 0.04 -0.61
2021-08-16 16:48:40.112372 -0.19 -0.06 -0.03 0.14 -0.16 0.16 -0.12 -0.28 -0.21 -0.15 -0.17 0.11 -0.61
2021-08-16 17:04:00.974424 -0.21 -0.07 -0.06 0.4 -0.17 0.14 -0.06 -0.28 -0.21 -0.2 -0.13 0.12 -0.61
2021-08-16 17:19:22.427392 -0.24 -0.06 -0.14 0.26 -0.16 0.09 -0.06 -0.22 -0.27 -0.06 -0.19 0.02 -0.63
2021-08-16 17:32:39.814082 -0.29 -0.04 -0.16 0.15 -0.15 0.1 -0.06 -0.31 -0.12 -0.01 -0.22 -0.05 -0.6
2021-08-16 17:48:41.850879 -0.22 -0.06 -0.15 0.07 -0.17 0.1 -0.08 -0.44 -0.2 -0.05 -0.16 -0.05 -0.52
2021-08-16 17:52:02.671597 -0.22 -0.07 -0.15 0.08 -0.17 0.1 -0.09 -0.45 -0.21 -0.1 -0.16 -0.03 -0.52
2021-08-16 17:55:24.895658 -0.17 -0.05 -0.15 0.16 -0.18 0.09 -0.09 -0.41 -0.2 -0.13 -0.14 -0.02 -0.52
